run,pair_name,signal_name,expression,primary_mechanism,expected_sign,generation,hypothesis,confidence,coder_a,coder_b,coder_a_confidence,coder_b_confidence,adjudicated,adjudicator_confidence,record_id
B1,accrual_distress,UnreversedAccrualOverhangInFragileFirms,"MUL(WINSOR(TS_SUM(RATIO(SUB(ADD(ib, dp), oancf), at), 3), 1), SUMRANK(RATIO(lt, at), NEG(RATIO(che, lct))))",accumulated_accrual_overhang,negative,3,"What threatens a fragile firm is not one year's accrual but the accumulated stock of earnings never converted to cash: three consecutive years of positive accruals means working capital has absorbed cash that liability-heavy, cash-poor firms cannot replace, so the overhang must be resolved through write-downs or distressed financing.",5,accumulated_accrual_overhang,accumulated_accrual_overhang,5,5,false,,m00017
B1,accrual_distress,AccrualsAmidExtraordinaryLosses,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), RANK(NEG(RATIO(SUB(ni, ib), at))))",earnings_validation_gap,negative,4,"Firms already recognising large below-the-line losses — discontinued operations, extraordinary write-offs — are in visible financial trouble, and accrual-inflated operating earnings reported alongside such losses indicate that management is propping up the ongoing business line while the balance sheet deteriorates.",3,earnings_validation_gap,earnings_validation_gap,3,2,false,,m00018
B1,accrual_distress,AccrualsWhenLeverageJumpsAboveOwnNorm,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), RANK(SUB(RATIO(lt, at), MA(RATIO(lt, at), 5))))",levered_accrual_pressure,negative,4,"Accrual reversals are punished when leverage has moved *above the firm's own multi-year norm*, because that gap identifies deterioration rather than capital-structure policy: the firm has taken on liabilities it does not usually carry at the same time as reporting earnings its cash flow does not support.",5,levered_accrual_pressure,levered_accrual_pressure,5,5,false,,m00019
B1,accrual_distress,IndustryRelativeAccrualsAtLeveragePeak,"MUL(IND_ZSCORE(RATIO(SUB(ADD(ib, dp), oancf), at)), TS_RANK(RATIO(lt, at), 5))",levered_accrual_pressure,negative,4,"Accrual intensity is a technology: retailers, distributors and manufacturers carry structurally different working-capital cycles, so the reversal-prone component is the firm's accrual excess *relative to its industry*, and this excess is punished when the firm's leverage is at a five-year peak.",5,levered_accrual_pressure,levered_accrual_pressure,5,5,false,,m00020
B1,accrual_distress,ReceivableAccrualsWithLossHistory,"MUL(WINSOR(RATIO(NEG(recch), at), 1), SUMRANK(TS_SUM(INDICATOR(NEG(pi), 0), 3), RATIO(lt, at)))",earnings_validation_gap,negative,4,"Chronic unprofitability, not just balance-sheet ratios, is what makes accrual reversals lethal: a firm that has posted pretax losses in multiple of the last three years and carries heavy liabilities has no earnings cushion to absorb a bad-debt provision on the receivables it has been building.",4,earnings_validation_gap,earnings_validation_gap,4,5,false,,m00021
B1,accrual_distress,RolloverFundedAccruals,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), TS_RANK(RATIO(DELTA(dlc, 1), lt), 5))",maturity_wall_cash_gap,negative,4,"When the cash gap created by accruals is plugged specifically with short-term borrowing rather than long-term capital, the firm has taken on rollover risk to finance non-cash earnings, which is the least sustainable funding configuration and precedes the sharpest disappointments.",5,maturity_wall_cash_gap,maturity_wall_cash_gap,5,5,false,,m00022
B1,accrual_distress,UnexplainedWorkingCapitalInvestmentUnderLeverage,"MUL(WINSOR(RATIO(SUB(SUB(SUB(SUB(DELTA(act, 1), DELTA(che, 1)), SUB(DELTA(lct, 1), DELTA(dlc, 1))), dp), DELTA(sale, 1)), at), 1), RANK(RATIO(lt, at)))",demand_deterioration_accruals,negative,4,"Working capital should expand roughly in step with revenue; the portion of accrual build-up that exceeds the year's revenue increment is unexplained operating-asset investment — over-extended credit terms, unsold inventory or delayed write-offs — and in liability-heavy firms this unexplained portion is what must be reversed.",4,demand_deterioration_accruals,demand_deterioration_accruals,4,4,false,,m00023
B1,accrual_distress,AccrualsAsRetainedEarningsErode,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), RANK(NEG(SUB(RATIO(re, at), MA(RATIO(re, at), 5)))))",levered_accrual_pressure,negative,5,"Fragility can arise from the equity side rather than the debt side: when retained earnings fall below the firm's own five-year norm, accumulated losses are consuming the internal capital buffer, and a firm without that buffer must resolve accrual reversals through write-downs or external financing on bad terms.",4,levered_accrual_pressure,levered_accrual_pressure,4,5,false,,m00024
B1,accrual_distress,AccrualsUnderChronicRevenueContraction,"MUL(WINSOR(RATIO(SUB(SUB(SUB(DELTA(act, 1), DELTA(che, 1)), SUB(DELTA(lct, 1), DELTA(dlc, 1))), dp), at), 1), SUMRANK(TS_SUM(INDICATOR(NEG(GROWTH(sale, 1)), 0), 3), RATIO(lt, at)))",demand_deterioration_accruals,negative,5,"A single bad revenue year can be cyclical noise, but two or three consecutive declining years in a levered firm signal secular decline, and working-capital accruals accumulated against a permanently shrinking revenue base will be written down rather than collected.",5,demand_deterioration_accruals,demand_deterioration_accruals,5,5,false,,m00025
B1,accrual_distress,AccrualsWhenCashFlowCannotServiceDebt,"MUL(WINSOR(RATIO(SUB(SUB(SUB(DELTA(act, 1), DELTA(che, 1)), SUB(DELTA(lct, 1), DELTA(dlc, 1))), dp), at), 1), RANK(NEG(RATIO(oancf, lt))))",liquidity_constrained_accruals,negative,5,"The fragility that matters for accrual reversal is flow-based, not stock-based: a firm whose operating cash flow is small or negative relative to total liabilities has no capacity to fund the working-capital investment its accruals represent, so the accrual must be unwound rather than financed.",4,liquidity_constrained_accruals,liquidity_constrained_accruals,4,5,false,,m00026
B1,accrual_distress,AccrualsWithLeverageAboveIndustryNorm,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), RANK(IND_ADJ(RATIO(lt, at))))",levered_accrual_pressure,negative,5,"Optimal leverage is industry-determined by asset tangibility and cash-flow stability, so the firms genuinely under financial pressure are those levered *above their industry's norm*; accrual reversals are punished there and not in industries where high leverage is standard practice.",5,levered_accrual_pressure,levered_accrual_pressure,5,5,false,,m00027
B1,accrual_distress,AccrualsWithStrandedOperatingAssets,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), RANK(NEG(SUB(RATIO(sale, at), MA(RATIO(sale, at), 5)))))",demand_deterioration_accruals,negative,5,"When asset turnover falls below a firm's own norm, the asset base — including the working capital that accruals represent — has stopped generating revenue, so the accrued receivables and inventory are stranded operating assets awaiting markdown rather than claims that will convert to cash.",5,demand_deterioration_accruals,demand_deterioration_accruals,5,5,false,,m00028
B1,accrual_distress,SoftAccrualComponentInFragileFirms,"MUL(WINSOR(RATIO(NEG(aoloch), at), 1), SUMRANK(RATIO(lt, at), NEG(RATIO(che, lct))))",opaque_accrual_accounts,negative,5,"Accrual components differ in verifiability: receivables and inventory are auditable against invoices and counts, whereas net changes in other operating assets and liabilities — capitalised costs, prepaid items, accrued estimates — rest almost entirely on management estimates, so this is where a fragile firm's earnings management concentrates and where reversals are least anticipated.",5,opaque_accrual_accounts,opaque_accrual_accounts,5,5,false,,m00029
B1,accrual_distress,AccrualsAsDebtMigratesToShortTerm,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), RANK(NEG(SUB(RATIO(dltt, lt), MA(RATIO(dltt, lt), 5)))))",maturity_wall_cash_gap,negative,6,"A fall in the long-term share of liabilities below the firm's own norm means debt has been reclassified as current — maturities approaching without refinancing, or covenant breaches accelerating obligations — so accrued earnings must convert to cash on a compressed schedule.",5,maturity_wall_cash_gap,maturity_wall_cash_gap,5,5,false,,m00030
B1,accrual_distress,AccrualsWithCollapsingTaxExpense,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), RANK(NEG(SUB(RATIO(txt, at), MA(RATIO(txt, at), 5)))))",earnings_validation_gap,negative,6,"When a firm's tax expense drops far below its own historical level while its accruals are high, book income is diverging from taxable income — the classic signature of earnings management that carries no tax cost — and it simultaneously reveals that real taxable profitability has evaporated.",5,earnings_validation_gap,earnings_validation_gap,5,5,false,,m00031
B1,accrual_distress,AccrualsWithExcessDebtPerRevenueDollar,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), RANK(IND_ADJ(RATIO(lt, sale))))",levered_accrual_pressure,negative,6,"Obligations are ultimately serviced out of revenue, not out of book assets, so the fragile firms are those carrying more liabilities per dollar of sales than their industry peers — asset-heavy or asset-light borrowers with too thin a revenue base — and accrual reversals there translate into refinancing problems rather than mere earnings misses.",4,levered_accrual_pressure,levered_accrual_pressure,4,4,false,,m00032
B1,accrual_distress,AccrualsWithIdiosyncraticLeverageDeterioration,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), RANK(IND_ADJ(DELTA(RATIO(lt, at), 1))))",levered_accrual_pressure,negative,6,"Leverage rises for two very different reasons — sector-wide credit cycles that lift everyone's debt ratios, and firm-specific deterioration — and only the idiosyncratic component signals that this particular firm is losing financial flexibility, which is when its unconverted accruals become a problem.",5,levered_accrual_pressure,levered_accrual_pressure,5,5,false,,m00033
B1,accrual_distress,AccrualsWithLiquidityBelowIndustryNorm,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), RANK(NEG(IND_ADJ(RATIO(che, lt)))))",liquidity_constrained_accruals,negative,6,"Cash needs are industry-determined — a software firm and a grocer require very different buffers — so the fragility that matters is holding *less* cash against liabilities than peers, and that is where unconverted accruals must be resolved through forced action rather than waited out.",5,liquidity_constrained_accruals,liquidity_constrained_accruals,5,5,false,,m00034
B1,accrual_distress,ReceivableAccrualsWithExcessIndustryLeverage,"MUL(WINSOR(RATIO(NEG(recch), at), 1), RANK(IND_ADJ(RATIO(lt, at))))",levered_accrual_pressure,negative,6,"Receivable build-up is the accrual component whose reversal runs through bad-debt provisions, and it is punished in firms carrying more debt than their industry peers, who cannot fund a collection shortfall the way a normally financed competitor can.",4,levered_accrual_pressure,levered_accrual_pressure,4,4,false,,m00035
B1,accrual_distress,AccrualsPerUnitOfLossAbsorbingCapital,"WINSOR(RATIO(SUB(ADD(ib, dp), oancf), MAX(ceq, che)), 1)",levered_accrual_pressure,negative,7,"What matters is the size of the accrual relative to the capital that must absorb its reversal: the same accrual-to-assets figure is trivial for a firm with a thick equity cushion and existential for one whose book equity has been eroded, so accruals scaled by loss-absorbing capital is itself the interaction.",5,levered_accrual_pressure,levered_accrual_pressure,5,5,false,,m00036
B1,accrual_distress,AccrualsUnderUnstableCapitalStructure,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), RANK(VOL(RATIO(lt, at), 5)))",levered_accrual_pressure,negative,7,Firms whose leverage ratio swings from year to year lack a stable financing plan — they borrow when cash runs short and repay when it does not — and such firms cannot commit funding to carry the working capital their accruals represent.,4,levered_accrual_pressure,levered_accrual_pressure,4,4,false,,m00037
B1,accrual_distress,AccrualsWithConvexDistressThreshold,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), ADD(RANK(IND_ADJ(RATIO(lt, at))), INDICATOR(IND_ADJ(RATIO(lt, at)), 0.15)))",levered_accrual_pressure,negative,7,"Distress costs are convex, not linear: being slightly more levered than peers is manageable, but once leverage exceeds the industry norm by a material margin the firm enters the region where covenants bind, lenders demand cash and accrual reversals must be settled immediately rather than absorbed.",5,levered_accrual_pressure,levered_accrual_pressure,5,5,false,,m00038
B1,accrual_distress,AccrualsWithExcessSupplierFinancingVsPeers,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), RANK(IND_ADJ(RATIO(SUB(lct, dlc), sale))))",maturity_wall_cash_gap,negative,7,"Non-debt current liabilities — payables and accrued expenses — are involuntary financing: a firm carrying more of them per dollar of sales than its industry peers is stretching suppliers and deferring obligations because cheaper funding is unavailable, and it is in no position to carry accrued but uncollected earnings.",5,maturity_wall_cash_gap,maturity_wall_cash_gap,5,5,false,,m00039
B1,accrual_distress,AccrualsWithSalesGrowthBelowIndustry,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), RANK(NEG(IND_ADJ(GROWTH(sale, 1)))))",demand_deterioration_accruals,negative,7,"Losing revenue while your industry grows is firm-specific demand deterioration — share loss, product obsolescence, customers defecting — and receivables and inventory accrued against that shrinking franchise will be collected or sold only at a discount.",5,demand_deterioration_accruals,demand_deterioration_accruals,5,5,false,,m00040
B1,accrual_distress,AccrualsUnderWorstDimensionOfFragility,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), MAX(RANK(IND_ADJ(RATIO(lt, at))), RANK(NEG(IND_ADJ(GROWTH(sale, 1))))))",other,negative,8,"Financial fragility is determined by the binding constraint, not by an average: a firm that is severely over-levered relative to peers is fragile even if its revenue is growing, and a firm losing revenue share is fragile even at modest leverage, so the relevant amplifier of accrual risk is the *worst* of the two peer-relative dimensions.",2,other,other,2,2,false,,m00041
B1,accrual_distress,AccrualsWithProductMarketAndFinancialWeakness,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), SUMRANK(NEG(IND_ADJ(GROWTH(sale, 1))), IND_ADJ(RATIO(lt, at))))",other,negative,8,A firm that is losing revenue share to its peers *and* carrying more debt than they do faces fragility on two independent fronts — it cannot grow out of its accrued working capital and cannot refinance around it — so its accrual reversals are the least likely to be absorbed.,2,other,other,2,2,false,,m00042
B1,accrual_distress,AccrualsWithSlowCashConversionVsPeers,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), RANK(IND_ADJ(RATIO(act, sale))))",slow_conversion_working_capital,negative,8,"A firm whose current assets represent far more days of sales than its industry peers has a structurally slow cash conversion cycle, so accrued earnings sit in receivables and inventory for longer, are more exposed to obsolescence and non-collection, and cannot be turned into cash quickly when obligations fall due.",5,slow_conversion_working_capital,slow_conversion_working_capital,5,5,false,,m00043
B1,accrual_distress,AccrualsWithVolatileRevenueBase,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), RANK(VOL(RATIO(sale, at), 5)))",demand_deterioration_accruals,negative,8,"Fragility can be operating rather than financial: a firm whose revenue base swings unpredictably cannot forecast the collections and inventory turnover its accruals presume, so accrued earnings in such firms are systematically less likely to convert to cash.",3,other,demand_deterioration_accruals,2,3,true,3,m00044
B1,accrual_distress,BalanceSheetAccrualsWithDemandLoss,"MUL(WINSOR(RATIO(SUB(SUB(SUB(DELTA(act, 1), DELTA(che, 1)), SUB(DELTA(lct, 1), DELTA(dlc, 1))), dp), at), 1), RANK(NEG(IND_ADJ(GROWTH(sale, 1)))))",demand_deterioration_accruals,negative,8,Balance-sheet working-capital accruals are informative specifically when demand is deteriorating — that is when a rise in receivables and inventory cannot be explained by growth — which would explain why this accrual leg predicts correctly with revenue-based conditioners and perversely with financing-based ones.,5,demand_deterioration_accruals,demand_deterioration_accruals,5,5,false,,m00045
B1,accrual_distress,CushionScaledAccrualsWithDemandLoss,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), MAX(ceq, che)), 1), RANK(NEG(IND_ADJ(GROWTH(sale, 1)))))",demand_deterioration_accruals,negative,8,"The damage from an accrual reversal is its size relative to the equity that must absorb it, and its likelihood is highest when the firm is losing revenue to peers, so the two should be measured multiplicatively: accrual per dollar of loss-absorbing capital, amplified by idiosyncratic demand loss.",4,demand_deterioration_accruals,demand_deterioration_accruals,4,4,false,,m00046
B1,accrual_distress,AccrualsWithBindingNonDebtPressure,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), MAX(RANK(IND_ADJ(RATIO(SUB(lct, dlc), sale))), RANK(NEG(IND_ADJ(GROWTH(sale, 1))))))",maturity_wall_cash_gap,negative,9,"Financial pressure need not come from lenders: a firm financing itself with more payables and accrued expenses per sales dollar than its peers is already rationed, and combined with revenue share loss it is in the same weakest-link position as an over-levered firm.",3,maturity_wall_cash_gap,maturity_wall_cash_gap,3,4,false,,m00047
B1,accrual_distress,ChronicPeerExcessLeverageAccruals,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), TS_SUM(INDICATOR(IND_ADJ(RATIO(lt, at)), 0), 3))",levered_accrual_pressure,negative,9,"One year of above-peer leverage can be a deliberate, reversible financing choice, but three consecutive years means the firm has been unable to deleverage and its debt capacity is exhausted, so accrual reversals must be absorbed by write-downs rather than by borrowing.",5,levered_accrual_pressure,levered_accrual_pressure,5,5,false,,m00048
B1,accrual_distress,CountOfBindingFragilityFronts,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), ADD(INDICATOR(IND_ADJ(RATIO(lt, at)), 0), ADD(INDICATOR(NEG(IND_ADJ(GROWTH(sale, 1))), 0), INDICATOR(NEG(IND_ADJ(RATIO(che, lt))), 0))))",other,negative,9,"Fragility accumulates discretely: each front on which a firm is worse than its industry norm — more levered, losing revenue share, holding less cash — removes one escape route from an accrual reversal, so the number of failed fronts, not the worst one, measures how trapped the firm is.",2,other,other,2,2,false,,m00049
B1,accrual_distress,CushionScaledAccrualsWithVolatileRevenue,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), MAX(ceq, che)), 1), RANK(VOL(RATIO(sale, at), 5)))",levered_accrual_pressure,negative,9,"Fragility has a capacity dimension and an uncertainty dimension: a thin equity cushion determines how much of an accrual reversal the firm can absorb, while an unstable revenue base determines how likely the reversal is, so accruals scaled by loss-absorbing capital should be most damaging where revenue is least predictable.",3,levered_accrual_pressure,levered_accrual_pressure,3,3,false,,m00050
B1,accrual_distress,DualEstimateAccrualsWithDemandLoss,"MUL(WINSOR(ADD(RATIO(SUB(ADD(ib, dp), oancf), at), RATIO(SUB(SUB(SUB(DELTA(act, 1), DELTA(che, 1)), SUB(DELTA(lct, 1), DELTA(dlc, 1))), dp), at)), 1), RANK(NEG(IND_ADJ(GROWTH(sale, 1)))))",other,negative,9,"The cash-flow and balance-sheet accrual measures are two noisy estimates of the same economic quantity; their sum retains the common accrual signal while the estimation errors — articulation differences, mergers, reclassifications — partially cancel, so the extreme portfolios contain firms where both statements agree that accruals are extreme.",2,other,other,2,2,false,,m00051
B1,accrual_distress,EarningsCompositionAccrualsUnderExcessLeverage,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), ADD(ABS(ib), dp)), 1), RANK(IND_ADJ(RATIO(lt, at))))",earnings_validation_gap,negative,9,"What matters for a fragile firm is not how large accruals are relative to its asset base but what fraction of its reported earnings is non-cash: when most of the earnings of an over-levered firm is accrual rather than cash, there is nothing available to service obligations and the reported profit will not survive.",4,earnings_validation_gap,levered_accrual_pressure,4,4,true,4,m00052
